# Terminology glossary: pipe-delimited, columns en|ru|ru_pattern|note.
# "#"-prefixed and blank lines are comments, stripped before parsing.
#
# - en: EN term (word-boundary, case-insensitive match). Rows sharing an en
#   (e.g. duplicate senses, or an abbreviation alongside its spelled-out
#   form) are merged: any one row's translation counts as correct.
# - ru: canonical display translation, for humans -- not used for matching.
# - ru_pattern: what the checker matches, as space-separated tokens: a
#   `word<>` stems (matches any suffix, e.g. "таблиц<>" -> "таблица"/
#   "таблицы"/...); a bare `word` must match exactly (do-not-translate
#   terms, SQL keywords, abbreviations). All tokens must be present.
# - note: optional context for why the row exists. Informational only.
#
# AI/human readers using this as translation guidance (not via
# docs_tool.py): use columns en/ru/note only, ignore ru_pattern. Coverage
# is curated from observed drift, not exhaustive.
en|ru|ru_pattern|note
based on Greenplum|на основе Greenplum|основ<> Greenplum|
Greengage DB|Greengage DB|Greengage DB|do-not-translate
Greengage DBMS|СУБД Greengage|СУБД Greengage|
passphrase|парольная фраза|парольн<> фраз<>|
host|хост|хост<>|
master host|мастер-хост|мастер-хост<>|
standby master host|резервный мастер-хост|резервн<> мастер-хост<>|
segment host|сегмент-хост|сегмент-хост<>|
firewall|межсетевой экран|межсетев<> экран<>|
topic|статья|стать<>|
section|раздел|раздел<>|
NIC bonding|объединение сетевых интерфейсов|объединен<> сетев<> интерфейс<>|
interconnect|интерконнект|интерконнект<>|
interconnect network|интерконнект-сеть|интерконнект-сет<>|
maximum transmission unit|максимальный размер блока передачи|максимальн<> размер<> блок<> передач<>|
Transparent Huge Pages|Transparent Huge Pages|Transparent Huge Pages|do-not-translate
read-ahead|опережающее чтение|опережающ<> чтени<>|
SSH key|SSH-ключ|SSH-ключ<>|
option|параметр|параметр<>|
endpoint security software|защитное программное обеспечение|защитн<> программн<> обеспечени<>|
meta-command|метакоманда|метакоманд<>|
backend|бэкенд|бэкенд<>|
frontend/backend protocol|клиент-серверный протокол|клиент-серверн<> протокол<>|
backup|бэкап|бэкап<>|
backup|резервное копирование|резервн<> копирован<>|sense: backup as a process/mode (e.g. system backup mode, hot backup) rather than the artifact itself
bare metal|bare metal|bare metal|do-not-translate
cache|кеш|кеш<>|
endpoint|эндпойнт|эндпойнт<>|
hash|хеш|хеш<>|
IP address|IP-адрес|IP-адрес<>|
open-source|с открытым исходным кодом|открыт<> исходн<> код<>|
pagination|пагинация|пагинаци<>|
snapshot|снепшот|снепшот<>|
split-brain|split-brain|split-brain|do-not-translate
tag|тег|тег<>|
timeout|тайм-аут|тайм-аут<>|
web application|веб-приложение|веб-приложени<>|
